incident_id,actual_root_cause,predicted_root_cause,rca_match,retrieval_recall_at_5,baseline_mttr,aegis_estimated_mttr,mttr_reduction_pct,remediation_actions,approval_required_count,human_approval_coverage
RAW-INC-0001,No strong failure pattern detected,No strong failure pattern detected,1,0,87.0,52.199999999999996,40.0,2,0,0
RAW-INC-0002,No strong failure pattern detected,No strong failure pattern detected,1,0,82.0,49.199999999999996,40.0,2,0,0
RAW-INC-0003,No strong failure pattern detected,No strong failure pattern detected,1,0,52.0,31.2,40.0,2,0,0
RAW-INC-0004,No strong failure pattern detected,No strong failure pattern detected,1,0,75.0,45.0,40.0,2,0,0
RAW-INC-0005,No strong failure pattern detected,No strong failure pattern detected,1,0,68.0,40.8,40.0,2,0,0
RAW-INC-0006,No strong failure pattern detected,No strong failure pattern detected,1,0,45.0,27.0,40.0,2,0,0
RAW-INC-0007,No strong failure pattern detected,No strong failure pattern detected,1,0,51.0,30.599999999999998,40.0,2,0,0
RAW-INC-0008,No strong failure pattern detected,No strong failure pattern detected,1,0,57.0,34.199999999999996,40.0,2,0,0
RAW-INC-0009,No strong failure pattern detected,No strong failure pattern detected,1,0,88.0,52.8,40.0,2,0,0
RAW-INC-0010,No strong failure pattern detected,No strong failure pattern detected,1,0,76.0,45.6,40.0,2,0,0
RAW-INC-0011,No strong failure pattern detected,No strong failure pattern detected,1,0,81.0,48.6,40.0,2,0,0
RAW-INC-0012,No strong failure pattern detected,No strong failure pattern detected,1,0,78.0,46.8,40.0,2,0,0
RAW-INC-0013,No strong failure pattern detected,No strong failure pattern detected,1,0,45.0,27.0,40.0,2,0,0
RAW-INC-0014,No strong failure pattern detected,No strong failure pattern detected,1,0,88.0,52.8,40.0,2,0,0
RAW-INC-0015,No strong failure pattern detected,No strong failure pattern detected,1,0,58.0,34.8,40.0,2,0,0
RAW-INC-0016,No strong failure pattern detected,No strong failure pattern detected,1,0,52.0,31.2,40.0,2,0,0
RAW-INC-0017,No strong failure pattern detected,No strong failure pattern detected,1,0,54.0,32.4,40.0,2,0,0
RAW-INC-0018,No strong failure pattern detected,No strong failure pattern detected,1,0,72.0,43.199999999999996,40.0,2,0,0
RAW-INC-0019,No strong failure pattern detected,No strong failure pattern detected,1,0,62.0,37.199999999999996,40.0,2,0,0
RAW-INC-0020,No strong failure pattern detected,No strong failure pattern detected,1,0,65.0,39.0,40.0,2,0,0
RAW-INC-0021,No strong failure pattern detected,No strong failure pattern detected,1,0,88.0,52.8,40.0,2,0,0
RAW-INC-0022,No strong failure pattern detected,No strong failure pattern detected,1,0,75.0,45.0,40.0,2,0,0
RAW-INC-0023,No strong failure pattern detected,No strong failure pattern detected,1,0,65.0,39.0,40.0,2,0,0
RAW-INC-0024,No strong failure pattern detected,No strong failure pattern detected,1,0,75.0,45.0,40.0,2,0,0
RAW-INC-0025,No strong failure pattern detected,No strong failure pattern detected,1,0,86.0,51.6,40.0,2,0,0
RAW-INC-0026,No strong failure pattern detected,No strong failure pattern detected,1,0,85.0,51.0,40.0,2,0,0
RAW-INC-0027,No strong failure pattern detected,No strong failure pattern detected,1,0,68.0,40.8,40.0,2,0,0
RAW-INC-0028,No strong failure pattern detected,No strong failure pattern detected,1,0,45.0,27.0,40.0,2,0,0
RAW-INC-0029,No strong failure pattern detected,No strong failure pattern detected,1,0,78.0,46.8,40.0,2,0,0
RAW-INC-0030,No strong failure pattern detected,No strong failure pattern detected,1,0,69.0,41.4,40.0,2,0,0
RAW-INC-0031,No strong failure pattern detected,No strong failure pattern detected,1,0,49.0,29.4,40.0,2,0,0
RAW-INC-0032,No strong failure pattern detected,No strong failure pattern detected,1,0,83.0,49.8,40.0,2,0,0
RAW-INC-0033,No strong failure pattern detected,No strong failure pattern detected,1,0,69.0,41.4,40.0,2,0,0
RAW-INC-0034,No strong failure pattern detected,No strong failure pattern detected,1,0,75.0,45.0,40.0,2,0,0
RAW-INC-0035,No strong failure pattern detected,No strong failure pattern detected,1,0,62.0,37.199999999999996,40.0,2,0,0
RAW-INC-0036,No strong failure pattern detected,No strong failure pattern detected,1,0,53.0,31.799999999999997,40.0,2,0,0
RAW-INC-0037,No strong failure pattern detected,No strong failure pattern detected,1,0,84.0,50.4,40.0,2,0,0
RAW-INC-0038,No strong failure pattern detected,No strong failure pattern detected,1,0,76.0,45.6,40.0,2,0,0
RAW-INC-0039,No strong failure pattern detected,No strong failure pattern detected,1,0,88.0,52.8,40.0,2,0,0
RAW-INC-0040,No strong failure pattern detected,No strong failure pattern detected,1,0,45.0,27.0,40.0,2,0,0
RAW-INC-0041,No strong failure pattern detected,No strong failure pattern detected,1,0,77.0,46.199999999999996,40.0,2,0,0
RAW-INC-0042,No strong failure pattern detected,No strong failure pattern detected,1,0,60.0,36.0,40.0,2,0,0
RAW-INC-0043,No strong failure pattern detected,No strong failure pattern detected,1,0,47.0,28.2,40.0,2,0,0
RAW-INC-0044,No strong failure pattern detected,No strong failure pattern detected,1,0,78.0,46.8,40.0,2,0,0
RAW-INC-0045,No strong failure pattern detected,No strong failure pattern detected,1,0,50.0,30.0,40.0,2,0,0
RAW-INC-0046,No strong failure pattern detected,No strong failure pattern detected,1,0,69.0,41.4,40.0,2,0,0
