incident_id,actual_root_cause,predicted_root_cause,top3_root_causes,confidence,top3_hit
RAW-INC-0680,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1810,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0569,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0791,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1767,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0802,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0757,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1374,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0568,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1438,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1507,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-2625,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1548,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0018,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-0706,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1638,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1272,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
RAW-INC-1798,No strong failure pattern detected,No strong failure pattern detected,Insufficient HDFS block replicas | Network or hardware performance degradation | Network or downstream timeout,1.0,0
